N,F0,PER,d0,v0,collision,attack
3,-6,0.36,7.645,86,0,0
3,-4,0.05,4.346,43,0,1
5,-7,0.44,8.755,69,0,0
7,-5,0.40348434,7.6726093,72,1,1
10,-8,0.78,5.133,50,1,1
6,-1,0.22,6.298,49,0,0
3,-7,0.57,4.137,72,0,0
8,-7,0.54,4.565,54,0,0
4,-7,0.51,8.751,70,0,0
3,-8,0.945838,6.9032135,72,0,1
6,-7,0.8411646,8.253977,61,0,1
8,-4,0.09801388,4.077651,41,0,1
7,-5,0.27,4.608,37,0,0
10,-5,0.33,5.185,54,1,0
7,-4,0.4,7.375,85,0,0
10,-2,0.33,4.149,83,1,0
9,-7,0.28,5.67,46,1,0
4,-4,0.22,7.598,25,0,1
8,-5,0.21110344,8.2193775,33,1,1
8,-8,0.35184288,4.4127502,13,1,1
8,-4,0.45,4.945,16,0,0
6,-8,0.602067,7.6553535,23,1,1
8,-5,0.25991154,8.832371,17,1,1
5,-2,0.49193192,4.334854,73,1,1
7,-2,0.9346733,4.3146725,24,0,1
4,-7,0.70585346,4.1871414,60,0,1
7,-6,0.88,5.425,33,1,0
5,-5,0.3802948,6.2636642,43,0,1
6,-6,0.43,8.337,39,0,1
4,-8,0.09,8.029,72,0,0
4,-4,0.69,7.965,84,1,0
10,-6,0.51,4.887,62,1,1
4,-8,0.59209347,4.2333536,85,0,1
6,-2,0.29,8.995,68,0,0
7,-1,0.989336,6.7691107,41,0,1
6,-4,0.41187382,4.989071,64,1,1
3,-3,0.4,8.23,54,0,1
10,-3,0.93,4.555,86,1,1
7,-1,0.79845524,4.7700844,66,0,1
5,-2,0.01,4.315,48,0,0
8,-7,0.7,4.378,36,1,0
5,-6,0.86425304,8.195065,51,0,1
6,-8,0.383255,6.6033163,48,1,1
8,-5,1.0,5.104,56,1,0
8,-3,0.77673626,7.2535086,41,0,1
5,-4,0.484766,6.2176914,63,1,1
9,-5,0.09,6.323,87,1,0
8,-6,0.0010929108,5.5871506,62,1,1
10,-7,0.94,8.743,34,1,0
7,-3,0.18,6.85,57,0,0
6,-8,0.78,5.121,23,1,0
4,-3,0.7695818,5.7040443,61,0,1
10,-4,0.98,4.07,31,1,1
4,-8,0.9064274,5.0825024,29,0,1
4,-1,0.5801201,8.839445,72,0,1
10,-7,0.32,7.716,11,1,0
10,-8,0.89,8.539,39,1,1
8,-5,0.8739233,6.949215,37,0,1
5,-3,0.67,4.114,68,1,0
